rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_spółdzielnia,czestochowa_wlasnosc_prywatna,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,54.21,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000.0,
apartamentowiec,55.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,675000.0,,1140000.0,,590000.0,,,,,,,,,,,,971629.3333333334,,755000.0,
apartamentowiec,59.7,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1040000.0,,,
apartamentowiec,61.3,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,839000.0,,,,,,,,,,,,,,,,,
apartamentowiec,64.4,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1114000.0,,,
apartamentowiec,70.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,609000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,70.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,980125.0,,,,,,,,,,,,,,1216666.6666666667,,730000.0,
apartamentowiec,72.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,1320000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,72.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820000.0,749000.0,
apartamentowiec,75.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,1279999.5,,849000.0,,,,,,,,,,,,1159833.3333333333,,,
apartamentowiec,83.1,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,800000.0,,,,,,,,,,,
apartamentowiec,85.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,1019000.0,,,,,,,,,,,,,,,,989000.0,
apartamentowiec,33.2,wysoki_poziom_jakosci,sierpien_2023,,,409000.0,,,,,,,,365000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,49.0,wysoki_poziom_jakosci,sierpien_2023,,,625000.0,,,,,,,,,,650000.0,,,,,,,,,,,,,,972500.0,,807833.3333333334,
apartamentowiec,49.62,wysoki_poziom_jakosci,sierpien_2023,,,490000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,51.0,nizki_poziom_jakosci,sierpien_2023,,,519000.0,,,,,,,,,,797000.0,,,,,,,,,,,,,,,,,
apartamentowiec,51.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1167500.0,,,
apartamentowiec,57.0,wysoki_poziom_jakosci,sierpien_2023,,,599000.0,,,,,,,,,,,,,,,,,,,,,,,,1450000.0,,,
apartamentowiec,64.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000.0,,
apartamentowiec,64.0,wysoki_poziom_jakosci,sierpien_2023,,,659500.0,,,,,,,,,,1344000.0,,656000.0,,,,,,,,,,,,1250000.0,,945000.0,
apartamentowiec,65.88,wysoki_poziom_jakosci,sierpien_2023,,,689000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,67.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,931500.0,,,
apartamentowiec,67.0,wysoki_poziom_jakosci,sierpien_2023,,,679000.0,,,,,,,,,,,,,,,,,,,,770500.0,,,,1084650.0,,1299000.0,
apartamentowiec,68.3,wysoki_poziom_jakosci,sierpien_2023,,,565000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,74.15,wysoki_poziom_jakosci,sierpien_2023,,,704425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,77.1,nizki_poziom_jakosci,sierpien_2023,,,554000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,78.84,wysoki_poziom_jakosci,sierpien_2023,,,654000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,78.9,wysoki_poziom_jakosci,sierpien_2023,,,640000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,111.04,wysoki_poziom_jakosci,sierpien_2023,,,819000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,31.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,550000.0,,,,,,,,,,,,,,,,479250.0,
apartamentowiec,32.52,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,396744.0,,,,,,,,,,,,,,,
apartamentowiec,35.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,798000.0,,,
apartamentowiec,37.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,689000.0,,,,,,,,352000.0,,,,,,,,,,,,670000.0,,,
apartamentowiec,38.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,705000.0,,,,,,569000.0,,,,,,,,675000.0,,,
apartamentowiec,42.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,720000.0,,,
apartamentowiec,42.4,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,619000.0,,,
apartamentowiec,43.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,620000.0,,,,,,,,,450000.0,,,512115.0,,,,,,,,,,,
apartamentowiec,46.33,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,665000.0,,,,,,,,,,,,,,,,,
apartamentowiec,48.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,700000.0,,,,,,,,,,,,,,,,925333.3333333334,,,
apartamentowiec,49.1,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,981951.0,,,,,,,,,,,,,,,,,
apartamentowiec,50.44,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605000.0,
apartamentowiec,53.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,630000.0,,,,,,,,,,659000.0,,,,930060.0,,598900.0,
apartamentowiec,56.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,781750.0,,,,,,,,,,,,,,915000.0,,,
apartamentowiec,59.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,866250.0,,,,,,,,,,,,,,977000.0,,,
apartamentowiec,60.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,850000.0,,499999.0,,,,,,,,,,,,824400.0,,,
apartamentowiec,74.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,1475000.0,,774500.0,,,,,,,,,,,,1288000.0,,,
apartamentowiec,87.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1024500.0,,1390000.0,
apartamentowiec,93.3,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,699000.0,,,,,,,,,,,,,,,
apartamentowiec,98.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,833000.0,,,,,,,,,,,,2450000.0,,,
apartamentowiec,26.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,
apartamentowiec,34.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,608750.0,,,,,,,,,,,,389000.0,,,,420000.0,
apartamentowiec,39.21,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,690000.0,,,
apartamentowiec,40.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,630000.0,,,
apartamentowiec,40.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,465000.0,,,,589000.0,,,,,,,,,,,,,,719000.0,,644000.0,
apartamentowiec,42.74,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,499000.0,,,,,,,,,,,,,,,
apartamentowiec,42.85,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,690000.0,,,
apartamentowiec,43.19,wysoki_poziom_jakosci,sierpien_2023,,,,,,,998000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,46.46,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,720000.0,,,
apartamentowiec,47.92,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,670000.0,,,,,,,,,,,,,,,,,
apartamentowiec,58.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,950000.0,,,,,,,,,,,,,,1190000.0,,,
apartamentowiec,64.5,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220000.0,
apartamentowiec,69.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,1087500.0,,,,,,,,,,,,,,1557000.0,,,
apartamentowiec,78.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,1260900.0,,,,,,,,,,,,,,1439500.0,,1080000.0,
apartamentowiec,80.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,920920.0,,,,,,,,,,,,,,1599750.0,,,
apartamentowiec,81.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1080000.0,,,
apartamentowiec,93.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,749000.0,,,,,,,,,,,,1500000.0,,,
apartamentowiec,95.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,1099000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,28.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349000.0,
apartamentowiec,52.3,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,749000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,59.4,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,590000.0,,,,,,,,,,,,,,,
apartamentowiec,61.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,650000.0,,,,,,570000.0,,,,,,,,,,,,,,837500.0,,897000.0,
apartamentowiec,63.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,880000.0,,749900.0,
apartamentowiec,66.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849000.0,
apartamentowiec,66.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,795000.0,,,,,,,,,,,,,,,,891000.0,
apartamentowiec,68.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1042500.0,,,
apartamentowiec,68.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,799000.0,,,,1130000.0,,,,,,,,,,,,,,1142500.0,,,
apartamentowiec,39.5,wysoki_poziom_jakosci,sierpien_2023,,,,,,,749000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,41.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,749000.0,,,,,,,,,,,,,,,,,,,,954500.0,,,
apartamentowiec,43.71,wysoki_poziom_jakosci,sierpien_2023,,,,,,,840000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,46.21,wysoki_poziom_jakosci,sierpien_2023,,,,,,,890000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,49.59,wysoki_poziom_jakosci,sierpien_2023,,,,,,,545490.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,49.8,nizki_poziom_jakosci,sierpien_2023,,,,,,,880000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,55.91,wysoki_poziom_jakosci,sierpien_2023,,,,,,,1050000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,63.4,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,750000.0,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,75.83,wysoki_poziom_jakosci,sierpien_2023,,,,,,,1490000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,143.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,1200000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,33.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420000.0,
apartamentowiec,61.4,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,970120.0,,,
apartamentowiec,62.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000.0,,,
apartamentowiec,62.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,899000.0,,,,,,,,,,,,,,990000.0,835000.0,,
apartamentowiec,63.1,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,1291877.0,,,,,,,,,,,,,,,,,
apartamentowiec,65.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,1625000.0,,659000.0,,,,,,,,,,,,,,888830.0,
apartamentowiec,67.5,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749000.0,
apartamentowiec,71.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,857000.0,,
apartamentowiec,71.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,966000.0,,,,,,,,1278000.0,,,
apartamentowiec,76.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,1164500.0,,,,,,,,,,,,,,1660000.0,,,
apartamentowiec,82.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,930000.0,,,,,,,,,,,,,,1425000.0,,,
apartamentowiec,82.2,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1750000.0,,,
apartamentowiec,110.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,999000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,25.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,445875.0,,,
apartamentowiec,79.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,949000.0,,,
apartamentowiec,79.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,889000.0,,1699500.0,,,
apartamentowiec,91.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000.0,,,
apartamentowiec,91.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1541250.0,,,
apartamentowiec,91.1,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,1685000.0,,,,,,,,,,,,,,,,,
apartamentowiec,56.06,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,749000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,102.29,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,1380000.0,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,92.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950000.0,
apartamentowiec,92.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,699000.0,,,,,,,,,,,,1600000.0,,950000.0,
apartamentowiec,41.86,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,544000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,43.1,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,499000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,46.56,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,590000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,49.98,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,549000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,97.74,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,989000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,97.79,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,890000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,109.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,949000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,38.5,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430000.0,
apartamentowiec,53.5,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,640000.0,,,,,,,,,,,,,,,,599000.0,
apartamentowiec,60.01,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,759000.0,,,,,,,,,,,,,,,
apartamentowiec,60.35,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,529000.0,,
apartamentowiec,62.5,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950000.0,
apartamentowiec,74.3,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,649000.0,,,,,,,,,,,,,,,
apartamentowiec,74.5,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,699000.0,,,,,,,,,,,,,,,
apartamentowiec,84.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1416333.3333333333,,,
apartamentowiec,30.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,320000.0,,,,,,,,,,,,760000.0,,,
apartamentowiec,38.6,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,599000.0,,,
apartamentowiec,71.49,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1465000.0,,,
apartamentowiec,86.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000.0,,,
apartamentowiec,90.0,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1774500.0,,,
apartamentowiec,90.3,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,2150000.0,,,
apartamentowiec,101.36,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1590000.0,,,
apartamentowiec,101.36,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,1590000.0,,,
apartamentowiec,26.76,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,590000.0,,,,,,,,,,,,,,,,,
apartamentowiec,29.0,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,539000.0,,,,,,,,,,,,,,,,388820.0,
apartamentowiec,30.53,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,656000.0,,,,,,,,,,,,,,,,,
apartamentowiec,30.69,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,599000.0,,,,,,,,,,,,,,,,,
apartamentowiec,31.13,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,690000.0,,,,,,,,,,,,,,,,,
apartamentowiec,32.87,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,572500.0,,,,,,,,,,,,,,,,,
apartamentowiec,32.98,nizki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,649000.0,,,,,,,,,,,,,,,,,
apartamentowiec,32.98,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,659270.0,,,,,,,,,,,,,,,,,
apartamentowiec,33.74,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,585000.0,,,,,,,,,,,,,,,,,
apartamentowiec,33.8,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,760500.0,,,,,,,,,,,,,,,,,
apartamentowiec,34.22,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,581740.0,,,,,,,,,,,,,,,,,
apartamentowiec,34.59,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,847455.0,,,,,,,,,,,,,,,,,
apartamentowiec,34.73,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,,,,
apartamentowiec,34.75,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,465000.0,,,,,,,,,,,,,,,,,
apartamentowiec,34.99,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,699000.0,,,,,,,,,,,,,,,,,
apartamentowiec,36.06,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,699000.0,,,,,,,,,,,,,,,,,
apartamentowiec,36.51,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,690000.0,,,,,,,,,,,,,,,,,
apartamentowiec,37.61,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,715000.0,,,,,,,,,,,,,,,,,
apartamentowiec,40.98,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,850000.0,,,,,,,,,,,,,,,,,
apartamentowiec,42.47,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,550000.0,,,,,,,,,,,,,,,,,
apartamentowiec,42.75,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,
apartamentowiec,43.03,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,690000.0,,,,,,,,,,,,,,,,,
apartamentowiec,43.06,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,687000.0,,,,,,,,,,,,,,,,,
apartamentowiec,44.87,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,740355.0,,,,,,,,,,,,,,,,,
apartamentowiec,45.04,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,625000.0,,,,,,,,,,,,,,,,,
apartamentowiec,45.05,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,1100000.0,,,,,,,,,,,,,,,,,
apartamentowiec,45.48,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,690000.0,,,,,,,,,,,,,,610000.0,,,
apartamentowiec,45.77,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,956600.0,,,,,,,,,,,,,,,,,
apartamentowiec,45.89,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,735000.0,,,,,,,,,,,,,,,,,
apartamentowiec,47.96,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,879000.0,,,,,,,,,,,,,,,,,
apartamentowiec,48.14,wysoki_poziom_jakosci,sierpien_2023,,,,,,,,,,,,,650000.0,,,,,,,,,,,,,,,,,
