rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,krakow_udział,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,84.0,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860000.0,
apartamentowiec,84.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,,,,,,,,1350000.0,,,,,,,,1220000.0,,1149500.0,
apartamentowiec,118.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,2790000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,26.5,nizki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,579000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,28.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,600000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,29.0,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,682000.0,,,,,,,,,,,,,392370.0,,689033.3333333334,,637500.0,
apartamentowiec,30.53,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,702000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,30.67,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,599000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,31.58,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,694760.0,,,,,,,,,,,,,,,,,,
apartamentowiec,32.87,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,686983.0,,,,,,,,,,,,,,,,,,
apartamentowiec,33.8,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,828100.0,,,,,,,,,,,,,,,,,,
apartamentowiec,34.59,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,847455.0,,,,,,,,,,,,,,,,,,
apartamentowiec,35.77,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,677800.0,,,,,,,,,,,,,,,,,,
apartamentowiec,35.79,wysoki_poziom_jakosci,marzec_2024,,,,,,,,,,,,,678000.0,,,,,,,,,,,,,,,,,,
