rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,krakow_udział,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,radom_udział,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,75.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,1279999.6666666667,,,764000.0,,,,,,,,,,,,,1262500.0,,,
apartamentowiec,80.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1374500.0,,,
apartamentowiec,80.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1549833.3333333333,,,
apartamentowiec,95.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675000.0,,,
apartamentowiec,100.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650000.0,,990000.0,
apartamentowiec,106.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,990000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,25.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,600000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,34.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000.0,580000.0,,
apartamentowiec,34.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,761250.0,,,,,,,,,,,,,,,,599000.0,,,
apartamentowiec,43.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,989000.0,,,,,,,,,,,,,,,,,,,,,,822000.0,,,
apartamentowiec,45.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,795000.0,,,,,,,,,,,,,,,,997000.0,,,
apartamentowiec,46.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,745000.0,,,,,,,,,,,,,,,,876333.3333333334,,,
apartamentowiec,49.5,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212000.0,,,
apartamentowiec,51.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850000.0,,620000.0,
apartamentowiec,51.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,,,
apartamentowiec,52.4,wysoki_poziom_jakosci,listopad_2023,,,,,,,995600.0,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,67.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,962000.0,,,720000.0,,,,,,,,,770500.0,,,,1044500.0,,,
apartamentowiec,68.9,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,900000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,40.65,wysoki_poziom_jakosci,listopad_2023,,,,,,,575000.0,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,43.19,wysoki_poziom_jakosci,listopad_2023,,,,,,,998000.0,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,43.71,wysoki_poziom_jakosci,listopad_2023,,,,,,,840000.0,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,47.91,wysoki_poziom_jakosci,listopad_2023,,,,,,,887000.0,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,49.59,wysoki_poziom_jakosci,listopad_2023,,,,,,,545490.0,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,55.91,wysoki_poziom_jakosci,listopad_2023,,,,,,,1050000.0,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,63.4,wysoki_poziom_jakosci,listopad_2023,,,,,,,,600000.0,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,68.49,wysoki_poziom_jakosci,listopad_2023,,,,,,,1299000.0,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,70.5,wysoki_poziom_jakosci,listopad_2023,,,,,,,899000.0,,890000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,75.83,wysoki_poziom_jakosci,listopad_2023,,,,,,,1430000.0,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,77.03,wysoki_poziom_jakosci,listopad_2023,,,,,,,1540600.0,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,110.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,1099990.0,,,,,,,,,,,,,,,,,,,,,,1997000.0,,,
apartamentowiec,42.7,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792000.0,,,
apartamentowiec,44.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825000.0,,729000.0,
apartamentowiec,49.4,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050000.0,,,
apartamentowiec,49.4,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790000.0,,,
apartamentowiec,50.5,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680000.0,,,
apartamentowiec,50.5,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590000.0,
apartamentowiec,62.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000.0,,,
apartamentowiec,62.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,1050000.0,,,,,,,,,,,,,,,,1140000.0,,,
apartamentowiec,65.5,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110000.0,,,
apartamentowiec,65.5,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,1090000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,70.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,1029000.0,,,,,,,,,,,,790000.0,,,,1045000.0,,729997.0,
apartamentowiec,78.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,1200000.0,,,,,,,,,,,,,,,,,,1400000.0,
apartamentowiec,79.3,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750000.0,,,
apartamentowiec,82.5,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395000.0,
apartamentowiec,79.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,1260000.0,,,,,,,,,,,,,,889500.0,,1643000.0,,,
apartamentowiec,97.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730000.0,,,
apartamentowiec,97.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285000.0,,,
apartamentowiec,56.06,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,728000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,84.88,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,1390000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,96.43,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,1430000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,64.5,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220000.0,
apartamentowiec,82.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000.0,,,
