rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,94.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,2052500.0,,1199900.0,922500.0
apartamentowiec,37.3,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1050000.0,,,,,,,,,,,,,,,,,
apartamentowiec,37.9,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,979000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,39.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1021500.0,,,,,,,,,,,,,,780000.0,970000.0,730500.0,
apartamentowiec,40.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,600000.0,,837333.3333333334,,,,,,,,,,,,586000.0,,815800.0,,656000.0,
apartamentowiec,52.0,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,850000.0,,,,,,,,,,,,,,,,,
apartamentowiec,52.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,734000.0,,,,,,,,,,,,,,1368000.0,,735000.0,702000.0
apartamentowiec,57.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,535000.0,,,,,,,,,
apartamentowiec,75.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1389999.3333333333,,,,,,,,,,,,,,1601500.0,,,
apartamentowiec,96.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,2254666.6666666665,,,,,,,,,,,,,,,,,
apartamentowiec,114.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1760000.0,,,,,,,,,,,,,,,,1650000.0,
apartamentowiec,81.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,760000.0,,,,,,,,,,,,,,,,,,,,,,1600000.0,,,
apartamentowiec,30.7,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719997.0,
apartamentowiec,33.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587400.0,459900.0
apartamentowiec,38.5,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,681450.0,,
apartamentowiec,40.6,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749997.0,
apartamentowiec,41.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,761000.0,,,,,,,,,,569900.0,,,,793333.3333333334,,,
