miasto,rodzaj_zabudowy,metry_kwadratowe,ilosc_pokojow,rok_zabudowy,rodzaj_wlasnosci,stan_mieszkania,wartosc,okres
szczecin,blok_mieszkań,73.0,4.0,1970.0,wlasnosc_prywatna,,529000,grudzien_2023
szczecin,blok_mieszkań,47.09,3.0,1968.0,wlasnosc_prywatna,wysoki_poziom_jakosci,549000,grudzien_2023
szczecin,kamienica,53.91,2.0,1932.0,wlasnosc_prywatna,,399000,grudzien_2023
szczecin,apartamentowiec,66.78,4.0,2018.0,wlasnosc_prywatna,wysoki_poziom_jakosci,790000,grudzien_2023
szczecin,blok_mieszkań,52.51,4.0,1985.0,wlasnosc_prywatna,,549000,grudzien_2023
szczecin,apartamentowiec,67.37,3.0,2018.0,wlasnosc_prywatna,wysoki_poziom_jakosci,790000,grudzien_2023
szczecin,kamienica,59.16,2.0,1930.0,wlasnosc_prywatna,nizki_poziom_jakosci,389000,grudzien_2023
szczecin,blok_mieszkań,45.3,2.0,1970.0,wlasnosc_prywatna,nizki_poziom_jakosci,440000,grudzien_2023
szczecin,,65.46,3.0,,wlasnosc_prywatna,wysoki_poziom_jakosci,599000,grudzien_2023
szczecin,blok_mieszkań,53.22,2.0,2001.0,wlasnosc_prywatna,wysoki_poziom_jakosci,499000,grudzien_2023
szczecin,kamienica,59.0,2.0,,wlasnosc_prywatna,nizki_poziom_jakosci,499000,grudzien_2023
szczecin,,33.0,2.0,,wlasnosc_prywatna,,319000,grudzien_2023
szczecin,,48.07,2.0,,spółdzielnia,,379000,grudzien_2023
szczecin,blok_mieszkań,51.88,2.0,1929.0,wlasnosc_prywatna,wysoki_poziom_jakosci,340000,grudzien_2023
szczecin,apartamentowiec,36.14,2.0,2013.0,wlasnosc_prywatna,wysoki_poziom_jakosci,439000,grudzien_2023
szczecin,kamienica,74.57,3.0,1935.0,wlasnosc_prywatna,wysoki_poziom_jakosci,495000,grudzien_2023
szczecin,kamienica,39.47,2.0,1920.0,wlasnosc_prywatna,wysoki_poziom_jakosci,360000,grudzien_2023
szczecin,blok_mieszkań,87.6,4.0,2010.0,wlasnosc_prywatna,nizki_poziom_jakosci,766000,grudzien_2023
szczecin,blok_mieszkań,100.0,4.0,,wlasnosc_prywatna,,600000,grudzien_2023
szczecin,,104.35,4.0,,wlasnosc_prywatna,wysoki_poziom_jakosci,769000,grudzien_2023
szczecin,,63.4,3.0,,wlasnosc_prywatna,,500000,grudzien_2023
szczecin,kamienica,39.12,2.0,1920.0,wlasnosc_prywatna,nizki_poziom_jakosci,265000,grudzien_2023
szczecin,blok_mieszkań,33.19,2.0,2023.0,wlasnosc_prywatna,,414875,grudzien_2023
szczecin,kamienica,55.02,3.0,1940.0,wlasnosc_prywatna,nizki_poziom_jakosci,315000,grudzien_2023
szczecin,kamienica,72.07,3.0,1920.0,wlasnosc_prywatna,,549000,grudzien_2023
szczecin,kamienica,57.0,2.0,1900.0,wlasnosc_prywatna,,480000,grudzien_2023
szczecin,blok_mieszkań,50.0,3.0,2009.0,wlasnosc_prywatna,wysoki_poziom_jakosci,570000,grudzien_2023
szczecin,,60.0,3.0,2018.0,wlasnosc_prywatna,wysoki_poziom_jakosci,729000,grudzien_2023
